id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
184,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,2500.0,ORANG,2017
185,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,0.0,ORANG,2017
186,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,0.0,ORANG,2017
187,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,50.0,ORANG,2017
188,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,2000.0,ORANG,2017
189,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,125.0,ORANG,2017
190,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,12579.0,ORANG,2017
191,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0.0,ORANG,2017
192,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,0.0,ORANG,2017
193,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,0.0,ORANG,2017
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,0.0,ORANG,2017
195,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,0.0,ORANG,2017
196,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,0.0,ORANG,2017
197,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,1690.0,ORANG,2017
198,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,43067.0,ORANG,2017
199,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,0.0,ORANG,2017
200,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,0.0,ORANG,2017
201,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,0.0,ORANG,2017
202,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,0.0,ORANG,2017
203,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,0.0,ORANG,2017
204,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,0.0,ORANG,2017
205,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0.0,ORANG,2017
206,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0.0,ORANG,2017
207,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,0.0,ORANG,2017
208,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,5926.0,ORANG,2017
209,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,0.0,ORANG,2017
210,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,0.0,ORANG,2017
211,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,0.0,ORANG,2017
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,0.0,ORANG,2017
213,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0.0,ORANG,2017
214,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,0.0,ORANG,2017
215,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,4411967.0,ORANG,2018
